"Data","Último","Abertura","Máxima","Mínima","Vol.","Var%"
"20.03.2024","443,66","439,90","444,11","438,09","39,10M","1,16%"
"19.03.2024","438,57","435,45","438,98","433,33","42,75M","0,25%"
"18.03.2024","437,48","438,73","441,04","437,24","45,80M","0,82%"
"15.03.2024","433,92","436,07","438,87","432,74","70,00M","-1,19%"
"14.03.2024","439,14","441,50","442,03","436,39","51,68M","-0,25%"
"13.03.2024","440,25","442,65","442,67","439,12","37,53M","-0,77%"
"12.03.2024","443,66","439,73","444,02","436,46","54,81M","1,43%"
"11.03.2024","437,39","437,51","438,66","435,44","45,86M","-0,37%"
"08.03.2024","439,02","445,81","448,64","438,34","72,10M","-1,44%"
"07.03.2024","445,45","442,42","446,72","440,86","43,73M","1,52%"
"06.03.2024","438,79","440,32","441,99","436,89","45,15M","0,63%"
"05.03.2024","436,05","440,94","440,95","433,65","56,84M","-1,79%"
"04.03.2024","444,02","445,61","446,04","443,77","33,89M","-0,36%"
"01.03.2024","445,61","439,90","446,58","439,84","43,85M","1,51%"
"29.02.2024","439,00","438,23","440,09","435,02","41,92M","0,86%"
"28.02.2024","435,27","435,43","436,67","434,30","32,19M","-0,53%"
"27.02.2024","437,60","437,67","437,99","435,02","33,13M","0,24%"
"26.02.2024","436,55","437,60","438,60","436,36","32,66M","-0,05%"
"23.02.2024","436,78","439,65","440,59","435,79","39,85M","-0,29%"
"22.02.2024","438,07","434,49","439,12","433,71","53,50M","2,93%"
"21.02.2024","425,61","424,55","425,70","421,63","48,20M","-0,40%"
"20.02.2024","427,32","428,55","430,08","423,50","53,08M","-0,75%"
"16.02.2024","430,57","434,89","434,99","429,85","53,72M","-0,91%"
"15.02.2024","434,51","433,92","434,98","431,33","38,44M","0,30%"
"14.02.2024","433,22","431,26","433,65","428,88","44,56M","1,09%"
"13.02.2024","428,55","427,28","431,27","425,33","63,98M","-1,56%"
"12.02.2024","435,34","436,94","439,14","434,65","32,71M","-0,39%"
"09.02.2024","437,05","433,94","437,85","433,14","36,94M","0,98%"
"08.02.2024","432,79","432,11","433,56","431,42","29,59M","0,19%"
"07.02.2024","431,99","430,41","432,83","429,09","37,38M","1,03%"
"06.02.2024","427,59","429,61","430,22","425,22","35,85M","-0,20%"
"05.02.2024","428,45","429,07","429,61","425,00","39,65M","-0,13%"
"02.02.2024","429,01","423,80","430,24","422,79","59,60M","1,69%"
"01.02.2024","421,88","418,79","422,38","417,81","48,30M","1,18%"
"31.01.2024","416,97","420,85","422,87","416,79","63,42M","-1,96%"
"30.01.2024","425,30","427,10","427,68","424,38","34,07M","-0,67%"
"29.01.2024","428,15","424,27","428,35","423,61","38,23M","1,02%"
"26.01.2024","423,81","424,44","426,21","423,15","37,14M","-0,60%"
"25.01.2024","426,35","428,36","429,04","423,98","43,38M","0,12%"
"24.01.2024","425,83","427,44","429,85","425,33","46,46M","0,55%"
"23.01.2024","423,48","422,43","423,70","420,57","32,24M","0,41%"
"22.01.2024","421,73","423,41","424,73","421,12","44,40M","0,13%"
"19.01.2024","421,18","415,22","421,34","414,63","70,33M","1,98%"
"18.01.2024","412,99","410,52","413,58","409,16","58,70M","1,42%"
"17.01.2024","407,21","406,17","407,58","402,92","54,12M","-0,56%"
"16.01.2024","409,52","408,31","411,12","406,83","43,68M","-0,01%"
"12.01.2024","409,56","410,40","411,25","408,15","39,59M","0,05%"
"11.01.2024","409,35","409,79","411,20","404,24","54,54M","0,21%"
"10.01.2024","408,50","406,07","409,52","405,17","33,49M","0,68%"
"09.01.2024","405,75","401,91","406,69","401,71","39,13M","0,20%"
"08.01.2024","404,95","397,99","405,24","397,84","41,88M","2,07%"
"05.01.2024","396,75","396,45","399,56","395,34","44,92M","0,12%"
"04.01.2024","396,28","396,44","399,59","396,06","39,01M","-0,51%"
"03.01.2024","398,33","399,93","401,00","397,89","46,66M","-1,06%"
"02.01.2024","402,59","405,84","406,09","400,24","57,40M","-1,69%"
"29.12.2023","409,52","411,28","411,64","407,58","42,66M","-0,43%"
"28.12.2023","411,30","412,67","412,92","410,94","26,74M","-0,05%"
"27.12.2023","411,50","410,95","411,79","410,08","31,83M","0,15%"
"26.12.2023","410,88","409,25","411,56","409,15","22,15M","0,61%"
"22.12.2023","408,38","409,00","409,97","406,48","34,31M","0,15%"
"21.12.2023","407,77","407,06","408,14","404,47","45,28M","1,16%"
"20.12.2023","403,08","408,35","410,47","402,90","53,22M","-1,49%"
"19.12.2023","409,16","407,54","409,28","407,35","35,05M","0,51%"
"18.12.2023","407,08","404,93","407,99","404,60","46,61M","0,43%"
"15.12.2023","405,34","404,18","406,54","403,57","62,90M","0,48%"
"14.12.2023","403,39","404,98","406,30","400,34","55,14M","-0,09%"
"13.12.2023","403,74","399,62","404,36","398,84","53,60M","1,27%"
"12.12.2023","398,67","395,56","398,79","394,41","38,69M","0,80%"
"11.12.2023","395,52","391,74","395,79","391,53","40,82M","0,85%"
"08.12.2023","392,17","388,67","392,62","388,48","46,69M","0,45%"
